Reference,Qty,Value,Footprint
D1,1,Green LED,LED_THT:LED_D5.0mm
D2,1,Yellow LED,LED_THT:LED_D5.0mm
D3,1,Red LED,LED_THT:LED_D5.0mm
ESP8266,1,~,Development_Boards:ESP8266 NodeMCU
nRF24L01+,1,~,Development_Boards:NRF24L01+PA+LNA
"R1,R2,R3",3,220,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal
SW1,1,SW_Push,Button_Switch_THT:SW_PUSH_6mm
SW2,1,SW_SPST,Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile
TP4056,1,~,Battery_Boards:TP4056 USB-C Breakout Board
BATT,1,3000,Battery: Lithium Polymer Battery
Bolts, 2, M3x12, No Footprint
